Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"315"	"JUND"	"441.7"	"Literature ChIP-seq,8;ARCHS4 Coexpression,1170;ENCODE ChIP-seq,4;Enrichr Queries,111;ReMap ChIP-seq,42;GTEx Coexpression,1315"	"IL1R1,PLK2,ID2,CD109,ID1,SH3BP5,LAMC1,PTGR1,CLU,VSIG10L,ADGRL3"
"gene_set_query"	"316"	"MXI1"	"442.8"	"ARCHS4 Coexpression,271;ENCODE ChIP-seq,49;Enrichr Queries,342;ReMap ChIP-seq,160;GTEx Coexpression,1392"	"IL1R1,ID2,ID1,SH3BP5,LAMC1,PLXNC1,CLU"
"gene_set_query"	"317"	"HOXB1"	"443.3"	"ARCHS4 Coexpression,356;Enrichr Queries,584;GTEx Coexpression,390"	"ID2,NT5DC2,SNAI1,VSIG10L"
"gene_set_query"	"318"	"NFATC1"	"445.0"	"ARCHS4 Coexpression,972;ENCODE ChIP-seq,110;Enrichr Queries,369;ReMap ChIP-seq,255;GTEx Coexpression,519"	"ID2,ID1,CLU"
"gene_set_query"	"319"	"HOXB4"	"448.3"	"Literature ChIP-seq,119;ARCHS4 Coexpression,598;Enrichr Queries,728;GTEx Coexpression,348"	"ID2,ID1,STON1"
"gene_set_query"	"320"	"NCOA2"	"450.5"	"ARCHS4 Coexpression,194;Enrichr Queries,1215;ReMap ChIP-seq,36;GTEx Coexpression,357"	"ID1,SNAI1,SH3BP5,HSPA2,PLXNC1,VSIG10L"
"gene_set_query"	"321"	"ZNF34"	"451.7"	"ARCHS4 Coexpression,739;Enrichr Queries,377;GTEx Coexpression,239"	"PLK2,ID2,ID1,RTL5"
"gene_set_query"	"322"	"GLIS2"	"451.7"	"ARCHS4 Coexpression,165;Enrichr Queries,137;GTEx Coexpression,1053"	"PLK2,ID2,ID1,LAMC1"
"gene_set_query"	"323"	"STAT1"	"453.0"	"Literature ChIP-seq,99;ARCHS4 Coexpression,936;ENCODE ChIP-seq,81;Enrichr Queries,615;ReMap ChIP-seq,241;GTEx Coexpression,746"	"ID2,ID1,SNAI1,PLXNC1,CLU"
"gene_set_query"	"324"	"HOXB3"	"453.0"	"ARCHS4 Coexpression,438;Enrichr Queries,585;GTEx Coexpression,336"	"ID2,ID1,STON1,LAMC1"
"gene_set_query"	"325"	"KLF6"	"453.0"	"ARCHS4 Coexpression,869;Enrichr Queries,126;ReMap ChIP-seq,78;GTEx Coexpression,739"	"ID2,PLK2,ID1,LAMC1,CLU"
"gene_set_query"	"326"	"HSFX1"	"457.0"	"ARCHS4 Coexpression,398;GTEx Coexpression,516"	"ZBTB47"
"gene_set_query"	"327"	"HHEX"	"458.0"	"ARCHS4 Coexpression,1134;Enrichr Queries,186;ReMap ChIP-seq,71;GTEx Coexpression,441"	"IL1R1,ID2,PLK2,ID1,PHACTR2,CLU"
"gene_set_query"	"328"	"FLI1"	"458.7"	"Literature ChIP-seq,129;ARCHS4 Coexpression,567;ENCODE ChIP-seq,104;Enrichr Queries,603;ReMap ChIP-seq,156;GTEx Coexpression,1193"	"ID2,CD109,ID1,SNAI1,PLXNC1"
"gene_set_query"	"329"	"CREB3L3"	"459.0"	"ARCHS4 Coexpression,675;Enrichr Queries,399;GTEx Coexpression,303"	"ID2,ID1,PTGR1,CLU"
"gene_set_query"	"330"	"PGR"	"459.3"	"ARCHS4 Coexpression,197;Enrichr Queries,18;ReMap ChIP-seq,91;GTEx Coexpression,1531"	"IL1R1,PLK2,ID2,ID1,SNAI1,CLU,ADGRL3"
"gene_set_query"	"331"	"GABPA"	"459.3"	"Literature ChIP-seq,44;ARCHS4 Coexpression,1042;ENCODE ChIP-seq,85;Enrichr Queries,1276;ReMap ChIP-seq,248;GTEx Coexpression,61"	"CD109,ID2,ID1,SH3BP5,LAMC1,PTGR1"
"gene_set_query"	"332"	"ONECUT2"	"459.7"	"ARCHS4 Coexpression,426;Enrichr Queries,331;GTEx Coexpression,622"	"ID2,ID1,PLXNC1,ADGRL3"
"gene_set_query"	"333"	"IKZF2"	"460.0"	"ARCHS4 Coexpression,568;Enrichr Queries,239;GTEx Coexpression,573"	"IL1R1,ID2,PHACTR2,PLXNC1"
"gene_set_query"	"334"	"HSF1"	"461.2"	"Literature ChIP-seq,68;ARCHS4 Coexpression,1380;ENCODE ChIP-seq,39;ReMap ChIP-seq,209;GTEx Coexpression,610"	"SNAI1,CLU"
"gene_set_query"	"335"	"CREB3"	"462.0"	"ARCHS4 Coexpression,696;Enrichr Queries,92;ReMap ChIP-seq,175;GTEx Coexpression,885"	"IL1R1,PLK2,ID2,ID1,CLU"
"gene_set_query"	"336"	"ZNF608"	"462.3"	"ARCHS4 Coexpression,363;Enrichr Queries,79;GTEx Coexpression,945"	"PLK2,ID2,PLXNC1,ADGRL3"
"gene_set_query"	"337"	"HOXB9"	"462.3"	"ARCHS4 Coexpression,803;Enrichr Queries,93;GTEx Coexpression,491"	"PLK2,ID2,ID1,SNAI1"
"gene_set_query"	"338"	"LHX9"	"463.3"	"ARCHS4 Coexpression,302;Enrichr Queries,955;GTEx Coexpression,133"	"ID2,PLXNC1,ADGRL3"
"gene_set_query"	"339"	"ZFP3"	"464.3"	"ARCHS4 Coexpression,82;Enrichr Queries,178;GTEx Coexpression,1133"	"PLK2,ID2,NT5DC2,ID1,ST8SIA5,CLU"
"gene_set_query"	"340"	"HNF4G"	"464.6"	"ARCHS4 Coexpression,736;ENCODE ChIP-seq,63;Enrichr Queries,1257;ReMap ChIP-seq,41;GTEx Coexpression,226"	"IL1R1,ID1,PLXNC1,PTGR1,CLU"
"gene_set_query"	"341"	"ZNF528"	"464.7"	"ARCHS4 Coexpression,982;Enrichr Queries,174;GTEx Coexpression,238"	"IL1R1,PLK2,ID1,RTL5,CLU"
"gene_set_query"	"342"	"PITX1"	"466.0"	"ARCHS4 Coexpression,371;Enrichr Queries,715;GTEx Coexpression,312"	"ID2,ID1,VSIG10L"
"gene_set_query"	"343"	"CREM"	"466.8"	"Literature ChIP-seq,63;ARCHS4 Coexpression,497;Enrichr Queries,94;ReMap ChIP-seq,271;GTEx Coexpression,1409"	"IL1R1,PLK2,ID2,ID1,SNAI1,SH3BP5,LAMC1,HSPA2,PLXNC1,ADGRL3"
"gene_set_query"	"344"	"NKX63"	"467.5"	"ARCHS4 Coexpression,22;GTEx Coexpression,913"	"NT5DC2,RTL5"
"gene_set_query"	"345"	"FOXF2"	"467.7"	"ARCHS4 Coexpression,703;Enrichr Queries,336;GTEx Coexpression,364"	"PLK2,ID2,ID1,STON1"
"gene_set_query"	"346"	"IKZF1"	"468.5"	"Literature ChIP-seq,153;ARCHS4 Coexpression,1039;ENCODE ChIP-seq,54;Enrichr Queries,804;ReMap ChIP-seq,45;GTEx Coexpression,716"	"IL1R1,ID2,ID1,SNAI1,SH3BP5,PLXNC1,LAMC1"
